purchase_date,weekday,month,is_holiday,holiday_name,is_carnival,is_weekend,is_friday,season,christmas_season,is_major_event,is_shopping_holiday,day_of_month,is_mid_month,is_last_3_days,is_day_24_non_december
2016-09-04,6,9,0,,0,1,0,Spring,0,0,0,4,0,0,0
2016-09-05,0,9,0,,0,0,0,Spring,0,0,0,5,0,0,0
2016-09-06,1,9,0,,0,0,0,Spring,0,0,0,6,0,0,0
2016-09-07,2,9,1,Independência do Brasil,0,0,0,Spring,0,0,0,7,0,0,0
2016-09-08,3,9,0,,0,0,0,Spring,0,0,0,8,0,0,0
2016-09-09,4,9,0,,0,0,1,Spring,0,0,0,9,0,0,0
2016-09-10,5,9,0,,0,1,0,Spring,0,0,0,10,0,0,0
2016-09-11,6,9,0,,0,1,0,Spring,0,0,0,11,0,0,0
2016-09-12,0,9,0,,0,0,0,Spring,0,0,0,12,0,0,0
2016-09-13,1,9,0,,0,0,0,Spring,0,0,0,13,0,0,0
2016-09-14,2,9,0,,0,0,0,Spring,0,0,0,14,1,0,0
2016-09-15,3,9,0,,0,0,0,Spring,0,0,0,15,1,0,0
2016-09-16,4,9,0,,0,0,1,Spring,0,0,0,16,1,0,0
2016-09-17,5,9,0,,0,1,0,Spring,0,0,0,17,0,0,0
2016-09-18,6,9,0,,0,1,0,Spring,0,0,0,18,0,0,0
2016-09-19,0,9,0,,0,0,0,Spring,0,0,0,19,0,0,0
2016-09-20,1,9,0,,0,0,0,Spring,0,0,0,20,0,0,0
2016-09-21,2,9,0,,0,0,0,Spring,0,0,0,21,0,0,0
2016-09-22,3,9,0,,0,0,0,Spring,0,0,0,22,0,0,0
2016-09-23,4,9,0,,0,0,1,Spring,0,0,0,23,0,0,0
2016-09-24,5,9,0,,0,1,0,Spring,0,0,0,24,0,0,1
2016-09-25,6,9,0,,0,1,0,Spring,0,0,0,25,0,0,0
2016-09-26,0,9,0,,0,0,0,Spring,0,0,0,26,0,0,0
2016-09-27,1,9,0,,0,0,0,Spring,0,0,0,27,0,0,0
2016-09-28,2,9,0,,0,0,0,Spring,0,0,0,28,0,1,0
2016-09-29,3,9,0,,0,0,0,Spring,0,0,0,29,0,1,0
2016-09-30,4,9,0,,0,0,1,Spring,0,0,0,30,0,1,0
2016-10-01,5,10,0,,0,1,0,Spring,0,0,0,1,0,0,0
2016-10-02,6,10,0,,0,1,0,Spring,0,0,0,2,0,0,0
2016-10-03,0,10,0,,0,0,0,Spring,0,0,0,3,0,0,0
2016-10-04,1,10,0,,0,0,0,Spring,0,0,0,4,0,0,0
2016-10-05,2,10,0,,0,0,0,Spring,0,0,0,5,0,0,0
2016-10-06,3,10,0,,0,0,0,Spring,0,0,0,6,0,0,0
2016-10-07,4,10,0,,0,0,1,Spring,0,0,0,7,0,0,0
2016-10-08,5,10,0,,0,1,0,Spring,0,0,0,8,0,0,0
2016-10-09,6,10,0,,0,1,0,Spring,0,0,0,9,0,0,0
2016-10-10,0,10,0,,0,0,0,Spring,0,0,0,10,0,0,0
2016-10-11,1,10,0,,0,0,0,Spring,0,0,0,11,0,0,0
2016-10-12,2,10,1,Nossa Senhora Aparecida,0,0,0,Spring,0,0,0,12,0,0,0
2016-10-13,3,10,0,,0,0,0,Spring,0,0,0,13,0,0,0
2016-10-14,4,10,0,,0,0,1,Spring,0,0,0,14,1,0,0
2016-10-15,5,10,0,,0,1,0,Spring,0,0,0,15,1,0,0
2016-10-16,6,10,0,,0,1,0,Spring,0,0,0,16,1,0,0
2016-10-17,0,10,0,,0,0,0,Spring,0,0,0,17,0,0,0
2016-10-18,1,10,0,,0,0,0,Spring,0,0,0,18,0,0,0
2016-10-19,2,10,0,,0,0,0,Spring,0,0,0,19,0,0,0
2016-10-20,3,10,0,,0,0,0,Spring,0,0,0,20,0,0,0
2016-10-21,4,10,0,,0,0,1,Spring,0,0,0,21,0,0,0
2016-10-22,5,10,0,,0,1,0,Spring,0,0,0,22,0,0,0
2016-10-23,6,10,0,,0,1,0,Spring,0,0,0,23,0,0,0
2016-10-24,0,10,0,,0,0,0,Spring,0,0,0,24,0,0,1
2016-10-25,1,10,0,,0,0,0,Spring,0,0,0,25,0,0,0
2016-10-26,2,10,0,,0,0,0,Spring,0,0,0,26,0,0,0
2016-10-27,3,10,0,,0,0,0,Spring,0,0,0,27,0,0,0
2016-10-28,4,10,0,,0,0,1,Spring,0,0,0,28,0,0,0
2016-10-29,5,10,0,,0,1,0,Spring,0,0,0,29,0,1,0
2016-10-30,6,10,0,,0,1,0,Spring,0,0,0,30,0,1,0
2016-10-31,0,10,0,,0,0,0,Spring,0,0,0,31,0,1,0
2016-11-01,1,11,0,,0,0,0,Spring,0,0,0,1,0,0,0
2016-11-02,2,11,1,Finados,0,0,0,Spring,0,0,0,2,0,0,0
2016-11-03,3,11,0,,0,0,0,Spring,0,0,0,3,0,0,0
2016-11-04,4,11,0,,0,0,1,Spring,0,0,0,4,0,0,0
2016-11-05,5,11,0,,0,1,0,Spring,0,0,0,5,0,0,0
2016-11-06,6,11,0,,0,1,0,Spring,0,0,0,6,0,0,0
2016-11-07,0,11,0,,0,0,0,Spring,0,0,0,7,0,0,0
2016-11-08,1,11,0,,0,0,0,Spring,0,0,0,8,0,0,0
2016-11-09,2,11,0,,0,0,0,Spring,0,0,0,9,0,0,0
2016-11-10,3,11,0,,0,0,0,Spring,0,0,0,10,0,0,0
2016-11-11,4,11,0,,0,0,1,Spring,0,0,0,11,0,0,0
2016-11-12,5,11,0,,0,1,0,Spring,0,0,0,12,0,0,0
2016-11-13,6,11,0,,0,1,0,Spring,0,0,0,13,0,0,0
2016-11-14,0,11,0,,0,0,0,Spring,0,0,0,14,1,0,0
2016-11-15,1,11,1,Proclamação da República,0,0,0,Spring,0,0,0,15,1,0,0
2016-11-16,2,11,0,,0,0,0,Spring,0,0,0,16,1,0,0
2016-11-17,3,11,0,,0,0,0,Spring,0,0,0,17,0,0,0
2016-11-18,4,11,0,,0,0,1,Spring,0,0,0,18,0,0,0
2016-11-19,5,11,0,,0,1,0,Spring,0,0,0,19,0,0,0
2016-11-20,6,11,0,,0,1,0,Spring,0,0,0,20,0,0,0
2016-11-21,0,11,0,,0,0,0,Spring,0,0,0,21,0,0,0
2016-11-22,1,11,0,,0,0,0,Spring,0,0,0,22,0,0,0
2016-11-23,2,11,0,,0,0,0,Spring,0,0,0,23,0,0,0
2016-11-24,3,11,0,,0,0,0,Spring,0,0,0,24,0,0,1
2016-11-25,4,11,0,,0,0,1,Spring,0,0,1,25,0,0,0
2016-11-26,5,11,0,,0,1,0,Spring,0,0,0,26,0,0,0
2016-11-27,6,11,0,,0,1,0,Spring,0,0,0,27,0,0,0
2016-11-28,0,11,0,,0,0,0,Spring,0,0,0,28,0,1,0
2016-11-29,1,11,0,,0,0,0,Spring,0,0,0,29,0,1,0
2016-11-30,2,11,0,,0,0,0,Spring,0,0,0,30,0,1,0
2016-12-01,3,12,0,,0,0,0,Summer,1,0,0,1,0,0,0
2016-12-02,4,12,0,,0,0,1,Summer,1,0,0,2,0,0,0
2016-12-03,5,12,0,,0,1,0,Summer,1,0,0,3,0,0,0
2016-12-04,6,12,0,,0,1,0,Summer,1,0,0,4,0,0,0
2016-12-05,0,12,0,,0,0,0,Summer,1,0,0,5,0,0,0
2016-12-06,1,12,0,,0,0,0,Summer,1,0,0,6,0,0,0
2016-12-07,2,12,0,,0,0,0,Summer,1,0,0,7,0,0,0
2016-12-08,3,12,0,,0,0,0,Summer,1,0,0,8,0,0,0
2016-12-09,4,12,0,,0,0,1,Summer,1,0,0,9,0,0,0
2016-12-10,5,12,0,,0,1,0,Summer,1,0,0,10,0,0,0
2016-12-11,6,12,0,,0,1,0,Summer,1,0,0,11,0,0,0
2016-12-12,0,12,0,,0,0,0,Summer,1,0,0,12,0,0,0
2016-12-13,1,12,0,,0,0,0,Summer,1,0,0,13,0,0,0
2016-12-14,2,12,0,,0,0,0,Summer,1,0,0,14,1,0,0
2016-12-15,3,12,0,,0,0,0,Summer,1,0,0,15,1,0,0
2016-12-16,4,12,0,,0,0,1,Summer,1,0,0,16,1,0,0
2016-12-17,5,12,0,,0,1,0,Summer,1,0,0,17,0,0,0
2016-12-18,6,12,0,,0,1,0,Summer,1,0,0,18,0,0,0
2016-12-19,0,12,0,,0,0,0,Summer,1,0,0,19,0,0,0
2016-12-20,1,12,0,,0,0,0,Summer,1,0,0,20,0,0,0
2016-12-21,2,12,0,,0,0,0,Summer,1,0,0,21,0,0,0
2016-12-22,3,12,0,,0,0,0,Summer,1,0,0,22,0,0,0
2016-12-23,4,12,0,,0,0,1,Summer,1,0,0,23,0,0,0
2016-12-24,5,12,0,,0,1,0,Summer,1,0,0,24,0,0,0
2016-12-25,6,12,1,Natal,0,1,0,Summer,1,0,1,25,0,0,0
2016-12-26,0,12,0,,0,0,0,Summer,1,0,0,26,0,0,0
2016-12-27,1,12,0,,0,0,0,Summer,1,0,0,27,0,0,0
2016-12-28,2,12,0,,0,0,0,Summer,1,0,0,28,0,0,0
2016-12-29,3,12,0,,0,0,0,Summer,1,0,0,29,0,1,0
2016-12-30,4,12,0,,0,0,1,Summer,1,0,0,30,0,1,0
2016-12-31,5,12,0,,0,1,0,Summer,1,0,0,31,0,1,0
2017-01-01,6,1,1,Confraternização Universal,0,1,0,Summer,0,0,0,1,0,0,0
2017-01-02,0,1,0,,0,0,0,Summer,0,0,0,2,0,0,0
2017-01-03,1,1,0,,0,0,0,Summer,0,0,0,3,0,0,0
2017-01-04,2,1,0,,0,0,0,Summer,0,0,0,4,0,0,0
2017-01-05,3,1,0,,0,0,0,Summer,0,0,0,5,0,0,0
2017-01-06,4,1,0,,0,0,1,Summer,0,0,0,6,0,0,0
2017-01-07,5,1,0,,0,1,0,Summer,0,0,0,7,0,0,0
2017-01-08,6,1,0,,0,1,0,Summer,0,0,0,8,0,0,0
2017-01-09,0,1,0,,0,0,0,Summer,0,0,0,9,0,0,0
2017-01-10,1,1,0,,0,0,0,Summer,0,0,0,10,0,0,0
2017-01-11,2,1,0,,0,0,0,Summer,0,0,0,11,0,0,0
2017-01-12,3,1,0,,0,0,0,Summer,0,0,0,12,0,0,0
2017-01-13,4,1,0,,0,0,1,Summer,0,0,0,13,0,0,0
2017-01-14,5,1,0,,0,1,0,Summer,0,0,0,14,1,0,0
2017-01-15,6,1,0,,0,1,0,Summer,0,0,0,15,1,0,0
2017-01-16,0,1,0,,0,0,0,Summer,0,0,0,16,1,0,0
2017-01-17,1,1,0,,0,0,0,Summer,0,0,0,17,0,0,0
2017-01-18,2,1,0,,0,0,0,Summer,0,0,0,18,0,0,0
2017-01-19,3,1,0,,0,0,0,Summer,0,0,0,19,0,0,0
2017-01-20,4,1,0,,0,0,1,Summer,0,0,0,20,0,0,0
2017-01-21,5,1,0,,0,1,0,Summer,0,0,0,21,0,0,0
2017-01-22,6,1,0,,0,1,0,Summer,0,0,0,22,0,0,0
2017-01-23,0,1,0,,0,0,0,Summer,0,0,0,23,0,0,0
2017-01-24,1,1,0,,0,0,0,Summer,0,0,0,24,0,0,1
2017-01-25,2,1,0,,0,0,0,Summer,0,0,0,25,0,0,0
2017-01-26,3,1,0,,0,0,0,Summer,0,0,0,26,0,0,0
2017-01-27,4,1,0,,0,0,1,Summer,0,0,0,27,0,0,0
2017-01-28,5,1,0,,0,1,0,Summer,0,0,0,28,0,0,0
2017-01-29,6,1,0,,0,1,0,Summer,0,0,0,29,0,1,0
2017-01-30,0,1,0,,0,0,0,Summer,0,0,0,30,0,1,0
2017-01-31,1,1,0,,0,0,0,Summer,0,0,0,31,0,1,0
2017-02-01,2,2,0,,0,0,0,Summer,0,0,0,1,0,0,0
2017-02-02,3,2,0,,0,0,0,Summer,0,0,0,2,0,0,0
2017-02-03,4,2,0,,0,0,1,Summer,0,0,0,3,0,0,0
2017-02-04,5,2,0,,0,1,0,Summer,0,0,0,4,0,0,0
2017-02-05,6,2,0,,0,1,0,Summer,0,0,0,5,0,0,0
2017-02-06,0,2,0,,0,0,0,Summer,0,0,0,6,0,0,0
2017-02-07,1,2,0,,0,0,0,Summer,0,0,0,7,0,0,0
2017-02-08,2,2,0,,0,0,0,Summer,0,0,0,8,0,0,0
